Neighborhood,OverallQual,GarageType,LotArea,YearBuilt,HouseStyle,SalePrice
CollgCr,7,Attchd,8924,1998,2Story,188000
NAmes,4,Detchd,12735,1972,1Story,111250
Sawyer,5,Attchd,11553,1968,1Story,158000
CollgCr,8,Attchd,11423,2001,1Story,272000
Timber,9,Attchd,14601,2006,1Story,315000
NoRidge,8,BuiltIn,11000,2000,2Story,248000
NWAmes,7,Attchd,10140,1998,1Story,213250
NAmes,7,Attchd,4058,1998,SFoyer,133000
Gilbert,7,Attchd,17104,2006,2Story,179665
NWAmes,7,Attchd,13837,1988,1.5Fin,229000
BrkSide,6,Detchd,8737,1923,1.5Fin,210000
Mitchel,5,Detchd,7244,1970,SFoyer,129500
OldTown,5,Detchd,8235,1955,1Story,125000
Somerst,7,BuiltIn,9375,2003,2Story,263000
NPkVill,6,Attchd,4043,1977,1Story,140000
OldTown,5,Attchd,6000,1957,1Story,112500
NridgHt,8,Attchd,11146,2006,1Story,255500
Edwards,4,Detchd,8777,1949,1Story,108000
NridgHt,7,BuiltIn,10625,2003,2Story,284000
BrkSide,5,Detchd,6380,1922,1.5Unf,113000
NAmes,5,Attchd,14850,1957,1Story,141000
IDOTRR,4,CarPort,11040,1920,1.5Fin,108000
Gilbert,7,Attchd,21872,1996,2Story,175000
Blmngtn,7,Attchd,3196,2003,1Story,234000
Sawyer,5,Detchd,11341,1957,1Story,121500
Mitchel,5,Attchd,10010,1974,1Story,170000
Edwards,5,NA,13907,1940,1Story,108000
Edwards,6,Detchd,21780,1918,1.5Fin,185000
NoRidge,7,Attchd,13346,1992,2Story,268000
SWISU,6,Detchd,6858,1915,2Story,128000
StoneBr,9,BuiltIn,11198,2005,2Story,325000
NridgHt,7,Attchd,10171,2004,1Story,214000
SawyerW,8,BuiltIn,12327,1983,1.5Fin,316600
NAmes,5,Detchd,7032,1979,SFoyer,135960
NAmes,5,Detchd,13101,1965,1Story,142600
NAmes,6,Attchd,7332,1959,1Story,120000
Timber,7,Attchd,13159,2009,2Story,224500
Gilbert,7,BuiltIn,9967,2000,SLvl,170000
NAmes,5,BuiltIn,10500,1971,SLvl,139000
NAmes,5,Detchd,8480,1947,1.5Fin,118500
SWISU,7,Detchd,6292,1928,1.5Fin,145000
Sawyer,5,Attchd,11777,1966,SLvl,164500
Somerst,7,Detchd,3604,2007,2Story,146000
OldTown,5,Attchd,12150,1954,1.5Fin,131500
NAmes,6,Attchd,14585,1960,1Story,181900
NridgHt,8,Attchd,12704,2008,1Story,253293
Edwards,6,NA,11841,1990,SFoyer,118500
OldTown,10,Detchd,13500,1893,2.5Unf,325000
BrkSide,4,Detchd,6120,1935,1.5Fin,133000
Timber,8,Attchd,11443,2005,1Story,369900
BrkSide,6,Detchd,10267,1918,1Story,130000
Sawyer,5,Detchd,8740,1982,SFoyer,137000
ClearCr,5,Attchd,25095,1968,1Story,143000
BrkSide,5,Detchd,9100,1930,1Story,79500
CollgCr,7,Attchd,8320,2004,2Story,185900
NridgHt,10,BuiltIn,13478,2008,2Story,451950
Mitchel,5,Detchd,6600,1982,1Story,138000
CollgCr,6,Attchd,4435,2003,1Story,140000
CollgCr,5,Detchd,7990,1975,1Story,110000
StoneBr,8,Attchd,11302,2005,1Story,319000
OldTown,6,Detchd,3600,1910,2Story,114504
Blmngtn,7,Attchd,3922,2006,1Story,194201
Crawfor,5,Attchd,12984,1977,1Story,217500
Blueste,6,Attchd,1950,1980,2Story,151000
NridgHt,8,BuiltIn,10927,2005,2Story,275000
IDOTRR,6,Detchd,9000,1937,1.5Fin,141000
SawyerW,8,Attchd,10041,1992,2Story,220000
Somerst,7,Detchd,3182,2004,2Story,151000
CollgCr,7,Attchd,12803,2002,1Story,221000
NAmes,7,Attchd,13600,1965,2Story,205000
CollgCr,5,Detchd,12464,1996,1Story,152000
Edwards,5,Attchd,7800,1948,2Story,225000
Crawfor,8,Basment,12168,1934,2Story,359100
Sawyer,4,Attchd,7943,1961,1Story,118500
CollgCr,9,Attchd,11050,2000,2Story,313000
NWAmes,6,Attchd,10395,1978,SLvl,148000
CollgCr,8,BuiltIn,11885,2001,2Story,261500
Mitchel,5,NA,8402,2007,1Story,147000
MeadowV,4,NA,1491,1972,SFoyer,75500
NAmes,6,Attchd,8800,1963,SFoyer,137500
Gilbert,6,Attchd,7861,2002,2Story,183200
NAmes,6,Detchd,7227,1954,1.5Unf,105500
NridgHt,9,Attchd,11694,2007,1Story,314813
Timber,8,Attchd,12244,2003,2Story,305000
Edwards,3,NA,8248,1914,1Story,67000
NWAmes,6,Attchd,10800,1974,2Story,240000
Sawyer,5,Detchd,7064,1977,1Story,135000
Somerst,6,Detchd,2117,2000,2Story,168500
NWAmes,6,Attchd,10400,1972,2Story,165150
NAmes,6,Attchd,10000,1962,1Story,160000
NAmes,5,Attchd,12342,1960,1Story,139900
NAmes,6,Basment,9600,1955,SLvl,153000
NAmes,5,Attchd,11606,1969,2Story,135000
NAmes,6,Attchd,9020,1964,SLvl,168500
OldTown,5,Detchd,9000,1880,2Story,124000
NridgHt,8,Attchd,4590,2006,1Story,209500
NWAmes,7,Attchd,11900,1977,1Story,82500
NAmes,5,Attchd,9250,1954,1Story,139400
OldTown,6,Detchd,6979,1980,SFoyer,144000
SWISU,6,NA,10896,1914,2.5Fin,200000
BrkSide,2,NA,6120,1936,1Story,60000
OldTown,5,BuiltIn,6000,1954,1.5Fin,93000
Edwards,5,NA,8777,1910,1Story,85000
Blmngtn,8,Attchd,3982,2006,1Story,264561
NridgHt,8,Attchd,12677,2003,1Story,274000
Somerst,7,Attchd,7050,2001,2Story,226000
NAmes,8,Attchd,13860,1972,SLvl,345000
NWAmes,5,Attchd,10793,1969,2Story,152000
Somerst,9,Attchd,9187,2009,1Story,370878
NAmes,6,Detchd,10530,1971,1Story,143250
NAmes,5,Detchd,7200,1950,1Story,98300
Edwards,6,Attchd,10452,1953,1Story,155000
NAmes,6,Attchd,7700,1966,2Story,155000
MeadowV,4,NA,1936,1970,SFoyer,84500
Somerst,7,Attchd,8125,2007,2Story,205950
Edwards,4,Detchd,9084,1940,2Story,108000
CollgCr,7,Attchd,8750,1996,2Story,191000
IDOTRR,6,Detchd,10320,1906,1.5Fin,135000
NoRidge,8,Attchd,10437,1995,1Story,350000
BrDale,6,Detchd,1680,1971,2Story,88000
NAmes,5,Attchd,10007,1959,1Story,145500
Crawfor,7,Attchd,7200,1931,2Story,149000
NAmes,6,Attchd,17503,1948,1.5Fin,97500
Edwards,5,Detchd,9937,1964,1Story,167000
NWAmes,7,Attchd,12384,1976,2Story,197900
NoRidge,8,Attchd,46589,1994,2Story,402000
NAmes,6,Attchd,13560,1968,1Story,110000
Edwards,4,Detchd,10012,1972,SFoyer,137500
Somerst,8,Attchd,20896,2005,1Story,423000
Gilbert,8,Attchd,11194,2000,2Story,230500
NAmes,6,CarPort,18450,1965,2Story,129000
SawyerW,6,Attchd,8125,1994,1Story,193500
Sawyer,5,Detchd,14175,1956,1Story,168000
Crawfor,4,Detchd,11600,1922,1Story,137500
CollgCr,6,Attchd,8633,2005,2Story,173500
Edwards,6,Detchd,6629,1925,2Story,103600
Veenker,6,Attchd,11250,1977,1Story,165000
Crawfor,6,Attchd,14442,1957,1Story,257500
NAmes,6,Attchd,9200,1965,1Story,140000
NPkVill,6,Attchd,2289,1978,2Story,148500
OldTown,4,2Types,9600,1900,2Story,87000
OldTown,5,Detchd,9022,1924,1Story,109500
StoneBr,8,Attchd,11844,2008,1Story,372500
Sawyer,5,Detchd,9945,1961,1Story,128500
SawyerW,6,Attchd,8012,1980,1Story,143000
SWISU,5,Detchd,4500,1932,1.5Fin,159434
ClearCr,6,Attchd,2887,1996,1Story,173000
CollgCr,9,Attchd,11248,2002,1Story,285000
NoRidge,7,Attchd,16770,1998,2Story,221000
StoneBr,7,Attchd,5062,1984,2Story,207500
Somerst,7,Attchd,10207,2007,2Story,227875
Somerst,7,Detchd,5105,2004,2Story,148800
StoneBr,8,Attchd,8089,2007,1Story,392000
NridgHt,6,Attchd,7577,2005,1Story,194700
CollgCr,6,Attchd,4426,2004,1Story,141000

Timber,7,Attchd,26178,1989,2Story,335000
OldTown,5,Detchd,5400,1921,1Story,108480
BrkSide,5,Detchd,6120,1936,1.5Fin,141500
Timber,6,Attchd,13811,1987,1Story,176000
BrkSide,5,Detchd,6000,1921,1Story,89000
Edwards,5,Detchd,6420,1952,1Story,123500
Sawyer,5,Detchd,8450,1965,1Story,138500
Somerst,7,Attchd,4282,2004,1Story,196000
Timber,8,Attchd,14331,2002,1Story,312500
NWAmes,7,Attchd,9600,1969,1Story,140000
StoneBr,8,BuiltIn,12438,2006,2Story,361919
OldTown,5,Detchd,7630,1900,2Story,140000
CollgCr,7,Attchd,8400,2004,1Story,213000
IDOTRR,4,NA,5600,1930,2Story,55000
ClearCr,7,Attchd,115149,1971,1Story,302000
NridgHt,8,Attchd,6240,2006,1Story,254000
Gilbert,7,Attchd,9018,2007,2Story,179540
Sawyer,5,Attchd,7162,1966,1Story,109900
BrkSide,3,NA,4130,1935,1Story,52000
IDOTRR,4,Detchd,8712,1900,1.5Fin,102776
StoneBr,8,Attchd,4671,1988,1Story,189000
BrkSide,4,Detchd,9873,1970,1Story,129000
Sawyer,6,Attchd,13517,1976,2Story,130500
NWAmes,6,Attchd,10140,1974,1Story,165000
OldTown,7,Detchd,10800,1890,2Story,159500
NWAmes,5,Attchd,10000,1973,1Story,157000
NoRidge,7,Attchd,10542,1993,2Story,341000
CollgCr,5,Attchd,9920,1969,1Story,128500
StoneBr,8,Attchd,6563,1985,1Story,275000
CollgCr,6,Attchd,4426,2004,1Story,143000
NAmes,4,Detchd,8120,1970,1Story,124500
Edwards,4,Detchd,8172,1954,1.5Fin,135000
Edwards,9,Attchd,13286,2007,1Story,320000
NAmes,4,Detchd,6960,1970,1Story,120500
Crawfor,6,Attchd,21695,1988,1Story,222000
CollgCr,7,Attchd,7314,2007,1Story,194500
NAmes,5,Detchd,11475,1958,1Story,110000
IDOTRR,4,Detchd,6240,1925,1.5Fin,103000
StoneBr,8,Attchd,5389,1995,1Story,236500
Timber,7,Attchd,9590,2003,SLvl,187500
CollgCr,7,Attchd,11404,1998,2Story,222500
Sawyer,5,Attchd,10000,1961,1Story,131400
Sawyer,5,Attchd,8978,1968,1Story,108000
OldTown,7,Detchd,10800,1914,2.5Unf,163000
NAmes,3,Detchd,8544,1950,1Story,93500
Gilbert,8,Attchd,10463,2005,2Story,239900
Edwards,5,NA,10800,1987,1Story,179000
CollgCr,7,Attchd,9313,2004,2Story,190000
OldTown,5,Detchd,9600,1910,2Story,132000
Sawyer,6,Detchd,6768,1961,1Story,142000
SawyerW,7,Attchd,8450,2000,1Story,179000
Sawyer,5,Attchd,12886,1963,SLvl,175000
StoneBr,8,Attchd,5395,1993,1Story,180000
NWAmes,8,BuiltIn,8963,1976,2Story,299800
Gilbert,7,BuiltIn,8795,2000,2Story,236000
OldTown,7,Detchd,11700,1880,2Story,265979
NoRidge,7,Attchd,10593,1996,1Story,260400
Edwards,4,Detchd,8405,1945,1.5Fin,98000
OldTown,4,NA,8800,1910,1.5Fin,96500
Gilbert,7,Attchd,7750,2003,2Story,162000
CollgCr,6,Attchd,9236,1997,1Story,217000
NridgHt,8,Attchd,10240,2005,2Story,275500
NAmes,6,Detchd,7930,1969,1Story,156000
Somerst,6,Detchd,3230,1999,2Story,172500
CollgCr,8,Attchd,10769,2007,2Story,212000
Sawyer,6,Attchd,11616,1978,2Story,158900
Somerst,7,Detchd,2280,1999,2Story,179400
NoRidge,8,Attchd,12257,1995,2Story,290000
NAmes,6,Detchd,9100,1959,1Story,127500
BrkSide,5,Detchd,6911,1924,1Story,100000
Somerst,7,Attchd,8640,2009,2Story,215200
NoRidge,8,Attchd,9430,1999,2Story,337000
Veenker,8,Attchd,9549,1995,1Story,270000
Somerst,9,Attchd,14587,2008,1Story,264132
NWAmes,7,Attchd,10421,1988,2Story,196500
Mitchel,6,Attchd,12508,1940,1.5Fin,160000
CollgCr,7,Attchd,9100,2004,1Story,216837
StoneBr,8,BuiltIn,53504,2003,2Story,538000
Sawyer,5,Detchd,7252,1982,SFoyer,134900
Edwards,4,Detchd,8877,1951,1Story,102000
Edwards,6,Detchd,7819,1976,SLvl,107000
NAmes,5,Attchd,10150,1958,1Story,114500
NridgHt,8,Attchd,14226,2006,1Story,395000
Mitchel,6,Attchd,4500,1998,1Story,162000
CollgCr,7,Attchd,11210,2005,1Story,221500
Sawyer,5,Attchd,13350,1974,1Story,142500
SawyerW,5,Detchd,8400,1977,1Story,144000
Mitchel,6,Attchd,10530,1977,SFoyer,135000
Gilbert,7,Attchd,7875,1995,1Story,176000
SawyerW,6,Attchd,7153,1992,2Story,175900
CollgCr,7,Attchd,16285,2001,1Story,187100
Mitchel,5,Attchd,9101,1978,SFoyer,165500
OldTown,6,NA,6300,1914,2.5Unf,128000
NWAmes,6,Attchd,9790,1967,1Story,161500
OldTown,5,Detchd,10800,1915,1.5Fin,139000
SawyerW,7,BuiltIn,10142,2004,2Story,233000
OldTown,4,Detchd,6000,1954,1Story,107900
ClearCr,6,Attchd,12205,1966,2Story,187500
Blmngtn,7,Attchd,3182,2005,1Story,160200
Mitchel,6,Attchd,11333,1976,SLvl,146800
NoRidge,7,Attchd,9920,1996,2Story,269790
Somerst,8,Attchd,9158,2007,1Story,225000
Gilbert,7,Attchd,10832,1994,2Story,194500
SawyerW,6,Attchd,8400,1980,2Story,171000
Sawyer,6,Attchd,8197,1977,1Story,143500
NAmes,5,Attchd,7677,1953,1Story,110000
NridgHt,9,BuiltIn,13518,2008,2Story,485000
SWISU,5,Detchd,7200,1937,1.5Fin,175000
ClearCr,6,Attchd,12798,1997,2Story,200000
IDOTRR,4,Detchd,4800,1916,1Story,109900
CollgCr,7,Attchd,8199,2005,2Story,189000
NridgHt,9,BuiltIn,13891,2008,2Story,582933
NAmes,5,Attchd,9000,1954,1Story,118000
Somerst,7,Attchd,12274,2008,1Story,227680
NAmes,5,Attchd,9750,1967,SLvl,135500
BrkSide,5,Attchd,21384,1923,2Story,223500
NAmes,5,Attchd,13400,1966,SLvl,159950
OldTown,5,Detchd,8100,1898,2.5Unf,106000
NWAmes,6,Attchd,10140,1974,1Story,181000
CollgCr,6,Attchd,4438,2004,1Story,144500
IDOTRR,5,Basment,8712,1952,1Story,55993
NAmes,6,Attchd,9750,1958,1Story,157900
Edwards,5,Detchd,8248,1918,1.5Fin,116000
CollgCr,7,Attchd,12137,1998,1Story,224900
NAmes,5,Attchd,11425,1954,1Story,137000
Mitchel,8,Attchd,13265,2002,1Story,271000
ClearCr,6,Attchd,8816,1971,SLvl,155000
NridgHt,7,Attchd,6371,2009,1Story,224000
CollgCr,7,Attchd,7226,2003,2Story,183000
OldTown,4,Detchd,6000,1953,1Story,93000
Gilbert,7,BuiltIn,12394,2003,2Story,225000
SWISU,6,Detchd,9900,1940,1.5Fin,139500
Somerst,8,Attchd,11216,2006,1Story,232600
NridgHt,10,Attchd,14803,2007,1Story,385000
BrkSide,5,NA,6130,1924,1.5Unf,109500
SawyerW,7,Attchd,8529,2001,1Story,189000
ClearCr,5,Attchd,28698,1967,2Story,185000
Somerst,7,Detchd,2544,2005,2Story,147400
NAmes,6,Attchd,11900,1957,1Story,166000
Somerst,7,Detchd,3180,2005,2Story,151000
CollgCr,7,Attchd,9548,2003,2Story,237000
NAmes,6,Attchd,10004,1964,1Story,167000
NAmes,5,Attchd,7875,1961,1Story,139950
Sawyer,4,Attchd,9600,1950,1Story,128000
OldTown,5,Detchd,8100,1948,1Story,153500
BrDale,6,Detchd,1680,1973,2Story,100000
CollgCr,5,Attchd,9525,1995,1Story,144000
Edwards,5,Detchd,11767,1946,1.5Fin,130500
SWISU,6,Detchd,12155,1925,2Story,140000
OldTown,5,Detchd,10440,1904,2Story,157500
NAmes,6,Attchd,9020,1966,SLvl,174900
NAmes,5,NA,8000,1961,1Story,141000
OldTown,5,Detchd,12665,1915,1.5Fin,153900
Sawyer,5,Basment,16647,1975,SFoyer,171000
SawyerW,7,Attchd,9317,1993,2Story,213000
CollgCr,5,Attchd,15523,1972,1Story,133500
ClearCr,6,Detchd,45600,1908,1.5Fin,240000
Veenker,6,Attchd,9600,1976,SLvl,187000
CollgCr,6,Attchd,4435,2003,1Story,131500
Blmngtn,8,Attchd,3196,2003,1Story,215000
Crawfor,7,Detchd,7128,1941,2.5Unf,164000
NAmes,6,Attchd,12095,1964,SLvl,158000
Sawyer,5,Attchd,17920,1955,1Story,170000
Sawyer,5,Detchd,6897,1962,1Story,127000
CollgCr,6,Detchd,10970,1978,SLvl,147000
Gilbert,6,Attchd,8125,1994,2Story,174000
NWAmes,7,Attchd,10400,1976,1Story,152000
NWAmes,6,Attchd,11029,1968,2Story,250000
Crawfor,7,Detchd,7642,1918,1.5Fin,189950
Sawyer,5,Attchd,11625,1965,1Story,131500
SawyerW,6,Attchd,9672,1984,1Story,152000
NAmes,5,Attchd,7931,1959,1Story,132500
Somerst,7,Attchd,8640,2007,1Story,250580
NAmes,5,Detchd,8750,1970,1Story,148500
Timber,8,Attchd,10656,2006,1Story,248900
Sawyer,4,Attchd,6970,1961,1Story,129000
Gilbert,5,Attchd,14762,1948,2Story,169000
SawyerW,7,Attchd,9938,1993,2Story,236000
NAmes,5,Detchd,6600,1962,1Story,109500
CollgCr,6,Attchd,8750,1998,2Story,200500
NAmes,5,Attchd,8892,1953,1Story,116000
NAmes,5,Attchd,12144,1949,1Story,133000
OldTown,5,Detchd,5720,1941,1.5Fin,66500
Somerst,8,BuiltIn,9000,2007,2Story,303477
Mitchel,4,Attchd,25286,1963,1Story,132250
NridgHt,9,Attchd,8834,2004,2Story,350000
Sawyer,5,Detchd,11782,1961,SFoyer,148000
CollgCr,5,Attchd,7000,1978,1Story,136500
Edwards,5,Attchd,7024,2005,1Story,157000
Timber,7,Attchd,13758,1990,1.5Fin,187500
Gilbert,6,BuiltIn,9636,1992,2Story,178000
SWISU,4,Detchd,6204,1912,2.5Fin,118500
NAmes,5,Attchd,7150,1967,1Story,100000
Somerst,9,Attchd,5119,1999,1Story,328900
NAmes,5,Attchd,8393,1959,1Story,145000
Edwards,5,Attchd,16466,1955,1.5Fin,135500
NAmes,8,Attchd,15865,1970,1Story,268000
NAmes,6,Attchd,12160,1953,1Story,149500
NAmes,5,Detchd,8064,1949,1.5Fin,122900
Sawyer,6,Attchd,11184,1978,2Story,172500
Sawyer,6,Attchd,8414,1963,1Story,154500
Sawyer,5,Attchd,13284,1954,1Story,165000
SawyerW,5,Attchd,7018,1979,1Story,118858
NAmes,6,Attchd,7056,1963,2Story,140000
IDOTRR,4,Detchd,8765,1936,1Story,106500
SawyerW,5,Detchd,7018,1979,2Story,142953

Sawyer,5,Attchd,6993,1961,1Story,135000
NAmes,4,Detchd,7340,1971,1Story,110000
NAmes,5,Detchd,8712,1957,1Story,153000
Gilbert,7,Attchd,7875,2003,2Story,180000
Gilbert,7,Attchd,14859,2006,1Story,240000
Sawyer,5,Attchd,6173,1967,1Story,125500
NAmes,5,Attchd,9920,1954,1Story,128000
Somerst,8,Attchd,13501,2006,1Story,255000
Crawfor,7,Attchd,11500,1936,1.5Fin,250000
Mitchel,5,Attchd,8885,1983,1Story,131000
Gilbert,6,Attchd,12589,2005,2Story,174000
NAmes,5,Detchd,11600,1960,2Story,154300
CollgCr,5,Detchd,9286,1977,1Story,143500
BrkSide,5,Detchd,6120,1925,1Story,88000
Crawfor,5,2Types,6270,1949,2Story,145000
Somerst,6,Detchd,3000,2009,2Story,173733
MeadowV,4,Attchd,2001,1970,2Story,75000
IDOTRR,2,Detchd,9000,1949,1Story,35311
Edwards,4,Attchd,17140,1956,1Story,135000
SawyerW,7,Attchd,13125,1991,2Story,238000
NAmes,6,Attchd,11029,1958,1Story,176500
SawyerW,6,Attchd,8462,1994,2Story,201000
Edwards,5,NA,8777,1900,1.5Fin,145900
Gilbert,6,Attchd,10237,2005,1Story,169990
SawyerW,6,Attchd,8012,1993,1Story,193000
NWAmes,6,Attchd,10240,1980,1Story,207500
NWAmes,5,Attchd,15611,1977,1Story,175000
NridgHt,8,BuiltIn,11999,2003,2Story,285000
NWAmes,7,Attchd,9900,1968,2Story,176000
CollgCr,8,Attchd,11838,2001,1Story,236500
Gilbert,7,BuiltIn,13006,1997,2Story,222000
Timber,8,Attchd,8925,2007,1Story,201000
NAmes,5,Detchd,9100,1965,1Story,117500
Somerst,9,Attchd,11670,2006,1Story,320000
CollgCr,7,Attchd,8487,2004,1Story,190000
NAmes,7,Attchd,27650,1960,1Story,242000
BrkSide,4,Detchd,5825,1926,1Story,79900
SawyerW,7,Attchd,10083,2003,1Story,184900
Somerst,7,Attchd,9675,2005,2Story,253000
CollgCr,7,Attchd,8760,2006,2Story,239799
ClearCr,7,Attchd,24090,1940,2Story,244400
Mitchel,6,Attchd,12640,1976,1Story,150900
Gilbert,7,BuiltIn,8755,1999,2Story,214000
Edwards,4,NA,7711,1977,1Story,150000
Mitchel,5,Attchd,25000,1967,1Story,143000
Timber,6,Basment,14375,1958,SLvl,137500
OldTown,5,Detchd,8820,1890,1.5Fin,124900
NAmes,5,Attchd,8163,1959,SLvl,143000
Timber,8,Attchd,14536,2002,1Story,270000
CollgCr,7,Attchd,14006,2002,2Story,192500
NWAmes,6,Attchd,9360,1972,1Story,197500
NAmes,5,Detchd,7200,1950,1Story,129000
SawyerW,5,Detchd,7800,1965,1Story,119900
CollgCr,5,Detchd,7200,1972,SFoyer,133900
Mitchel,5,Attchd,11075,1969,2Story,172000
Edwards,6,NA,9400,1975,SFoyer,127500
Crawfor,6,Attchd,7136,1946,2Story,145000
Blueste,6,Attchd,1300,1980,2Story,124000
Sawyer,5,Detchd,7420,1962,1Story,132000
CollgCr,7,Attchd,8450,2003,1Story,185000
Somerst,7,Detchd,2572,1999,2Story,155000
BrkSide,5,NA,7207,1958,1Story,116500
NWAmes,6,Attchd,12227,1977,2Story,272000
NPkVill,6,Detchd,2308,1976,2Story,155000
CollgCr,9,Attchd,11923,2007,1Story,239000
Timber,7,BuiltIn,11316,2002,2Story,214900
Gilbert,6,Attchd,10237,2005,2Story,178900
Crawfor,5,Detchd,9600,1940,1.5Fin,160000
NAmes,5,Attchd,7390,1955,1Story,135000
OldTown,3,NA,5925,1910,1.5Fin,37900
NAmes,6,Attchd,10382,1958,SLvl,140000
NAmes,4,NA,10800,1949,1.5Fin,135000
NridgHt,7,BuiltIn,2268,2003,2Story,173000
SawyerW,6,Attchd,7892,1979,1Story,99500
Somerst,7,Attchd,11639,2007,1Story,182000
BrkSide,7,Detchd,11414,1910,2Story,167500
Somerst,7,Detchd,2651,2000,2Story,165000
BrkSide,4,NA,5900,1923,1Story,85500
Somerst,7,Attchd,4274,2006,1Story,199900
Edwards,4,Detchd,9450,1954,1Story,110000
Sawyer,5,Detchd,8816,1963,1Story,139000
NAmes,7,Attchd,12122,1961,SFoyer,178400
NoRidge,8,Attchd,12203,1998,2Story,336000
Blmngtn,7,Attchd,3182,2007,1Story,159895
CollgCr,8,Attchd,11250,2002,2Story,255900
Mitchel,5,Attchd,10125,1977,1.5Fin,126000
Edwards,5,Detchd,10880,1950,1Story,125000
OldTown,6,Attchd,5310,1910,1.5Fin,117000
NridgHt,9,Attchd,10159,2009,1Story,395192
NWAmes,6,Attchd,12046,1976,2Story,195000
Somerst,7,Attchd,8125,2006,2Story,197000
NoRidge,8,Attchd,9452,1997,2Story,348000
OldTown,8,Attchd,17671,1882,2Story,168000
NAmes,6,Attchd,9760,1964,2Story,187000
CollgCr,6,Attchd,8846,2005,2Story,173900
NridgHt,10,Attchd,12456,2006,1Story,337500
BrkSide,4,Detchd,4712,1946,1.5Fin,121600
NAmes,5,Attchd,10659,1961,1Story,136500
NWAmes,6,Attchd,11717,1970,1Story,185000
IDOTRR,3,Detchd,9786,1922,1Story,91000
CollgCr,7,Attchd,6762,2006,1Story,206000
Edwards,3,Detchd,10206,1952,1Story,82000
OldTown,5,Detchd,5400,1920,1Story,86000
Somerst,8,Attchd,11957,2006,1Story,232000
NWAmes,5,Detchd,11500,1976,1Story,136905
Blmngtn,7,Attchd,3182,2005,1Story,181000
CollgCr,5,Attchd,8385,1977,SLvl,149900
NAmes,6,Attchd,12155,1970,1Story,163500
MeadowV,4,Attchd,2217,1970,2Story,88000
Mitchel,7,Attchd,12118,2004,1Story,240000
SWISU,5,NA,6000,1926,1.5Fin,102000
Sawyer,5,Attchd,21286,1948,1.5Fin,135000
Edwards,5,NA,9825,1965,1Story,100000
Crawfor,6,Detchd,10592,1923,2Story,165000
OldTown,5,Detchd,7200,1910,1Story,85000
NAmes,6,Detchd,11664,1948,1Story,119200
NWAmes,8,Attchd,8400,2001,2Story,227000
CollgCr,7,Attchd,11883,1996,1Story,203000
StoneBr,8,Attchd,5814,1984,1Story,187500
Gilbert,7,Attchd,10784,1991,SLvl,160000
Blmngtn,7,Attchd,3013,2005,1Story,213490
Edwards,4,Attchd,7024,2005,1Story,176000
CollgCr,7,Attchd,7406,2006,1Story,194000
OldTown,5,Detchd,9439,1930,1.5Fin,87000
Blmngtn,7,Attchd,3182,2005,1Story,191000
Timber,8,Attchd,15498,1976,1Story,287000
CollgCr,5,Detchd,7700,1972,1Story,112500
NAmes,5,Attchd,9300,1960,1Story,167500
Timber,8,Attchd,9520,2007,1Story,293077
NAmes,5,Attchd,9492,1941,1.5Fin,105000
BrDale,6,Detchd,1680,1972,2Story,118000
SWISU,5,NA,7082,1916,2Story,160000
SWISU,7,Basment,15863,1920,2.5Fin,197000
NoRidge,8,Attchd,14541,1993,2Story,310000
CollgCr,7,Attchd,8125,2002,1Story,230000
Crawfor,5,Basment,6305,1938,1Story,119750
Edwards,4,Detchd,11500,1957,1Story,84000
Timber,9,Attchd,12898,2007,1Story,315500
CollgCr,8,BuiltIn,9240,2001,2Story,287000
MeadowV,4,NA,1533,1970,2Story,97000
MeadowV,4,Attchd,1477,1970,SFoyer,80000
Sawyer,5,Attchd,13125,1957,1Story,155000
NWAmes,6,Attchd,9130,1966,2Story,173000
NridgHt,6,Attchd,5381,2005,1Story,196000
SawyerW,7,Attchd,11839,1990,2Story,262280
NWAmes,8,Attchd,9600,1981,1Story,278000
Edwards,3,Attchd,13680,1955,1Story,139600
StoneBr,9,BuiltIn,16056,2005,2Story,556581
CollgCr,5,Detchd,9245,1994,1Story,145000
Mitchel,5,Attchd,21750,1960,1Story,115000
Edwards,4,Detchd,11100,1946,1Story,84900
Gilbert,7,Attchd,8993,2007,1Story,176485
CollgCr,7,Attchd,11175,2007,1Story,200141
NAmes,6,Attchd,9500,1964,2Story,165000
Edwards,5,Basment,8562,1957,1Story,144500
CollgCr,8,Attchd,11367,2002,2Story,255000
NWAmes,6,Attchd,11361,1976,1Story,180000
NridgHt,7,Attchd,7052,2005,1Story,185850
NoRidge,7,BuiltIn,29959,1994,2Story,248000
NridgHt,9,Attchd,11308,2008,2Story,335000
Crawfor,6,Detchd,11275,1932,1.5Fin,220000
StoneBr,8,Attchd,4920,2001,1Story,213500
IDOTRR,3,Detchd,18000,1935,1Story,81000
OldTown,5,Detchd,13600,1900,2Story,90000
OldTown,6,Detchd,6000,1925,1Story,110500
NAmes,5,Attchd,11000,1966,1Story,154000
ClearCr,7,Attchd,14000,1996,2Story,328000
Gilbert,6,Attchd,7837,1993,2Story,178000
NAmes,6,Attchd,9760,1964,2Story,167900
MeadowV,6,Attchd,3964,1973,2Story,151400
NAmes,5,Detchd,9600,1949,1.5Unf,135000
NAmes,5,Attchd,10152,1956,1Story,135000
NWAmes,6,Attchd,11700,1968,2Story,154000
Edwards,5,Detchd,7585,1948,1.5Fin,91500
Edwards,6,Attchd,7950,1977,2Story,159500
